"Postcode","Latitude","Longitude","District","Ward","Roads","Population","Households"
"CF14 0NS","51.526452","-3.178350","Cardiff","Llanishen","Towy Road,Usk Road","30","11"
"CF14 0NT","51.525460","-3.179521","Cardiff","Llanishen","Ewenny Road,Fidlas Road,Maberly Court,Rhyd-Y-Penau Road,Towy Road","46","17"
"CF14 0NU","51.520511","-3.180762","Cardiff","Cyncoed","Three Arches Avenue","68","31"
"CF14 0NW","51.521737","-3.180520","Cardiff","Cyncoed","Three Arches Avenue","83","33"
"CF14 0NX","51.522094","-3.178958","Cardiff","Cyncoed","Fidlas Avenue,Rhyd-Y-Penau Road","28","9"
"CF14 0NY","51.522967","-3.178822","Cardiff","Cyncoed","Fidlas Avenue","82","30"
"CF14 0NZ","51.524177","-3.179301","Cardiff","Cyncoed","Fidlas Avenue,Maberly Court","101","35"
"CF14 0PB","51.525018","-3.179726","Cardiff","Cyncoed","Maberly Court","29","23"
"CF14 0PE","51.539476","-3.165335","Cardiff","Lisvane and Thornhill","Maerdy Lane","1","1"
"CF14 0PF","51.536577","-3.148363","Cardiff","Pontprennau and Old St Mellons","Ty-Draw Road","24","10"
"CF14 0PJ","51.542302","-3.138499","Cardiff","Pontprennau and Old St Mellons","M4,Parkwall Road","16","5"
"CF14 0PN","51.532145","-3.180040","Cardiff","Llanishen","","11","3"
"CF14 0PQ","51.534286","-3.159147","Cardiff","Lisvane and Thornhill","Heol Nant Glandulas","",""
"CF14 0RA","51.532023","-3.180527","Cardiff","Llanishen","The Rise","18","9"
"CF14 0RB","51.530932","-3.179029","Cardiff","Llanishen","East Rise,The Rise","26","10"
"CF14 0RD","51.530622","-3.179482","Cardiff","Llanishen","The Rise","39","14"
"CF14 0RE","51.530342","-3.180484","Cardiff","Llanishen","West Rise","82","31"
"CF14 0RF","51.529859","-3.179361","Cardiff","Llanishen","South Rise","44","22"
"CF14 0RG","51.532206","-3.176640","Cardiff","Llanishen","Lisvane Road,South Rise","57","30"
"CF14 0RH","51.529601","-3.179066","Cardiff","Llanishen","South Rise,West Rise","56","25"
"CF14 0RJ","51.530706","-3.178259","Cardiff","Llanishen","East Rise","39","13"
"CF14 0RL","51.531734","-3.179828","Cardiff","Llanishen","","5","2"
"CF14 0RN","51.531992","-3.178220","Cardiff","Llanishen","Mill Road,North Rise","93","38"
"CF14 0RP","51.547244","-3.154515","Cardiff","Pontprennau and Old St Mellons","Graig-Llwyn Road,M4","23","10"
"CF14 0RQ","51.539412","-3.169083","Cardiff","Lisvane and Thornhill","Coed-Y-Dafarn","29","11"
"CF14 0RR","51.542843","-3.182971","Cardiff","Lisvane and Thornhill","Ridgeway","44","17"
"CF14 0RS","51.541833","-3.184156","Cardiff","Lisvane and Thornhill","Ridgeway","148","53"
"CF14 0RT","51.542094","-3.182317","Cardiff","Lisvane and Thornhill","Ivydale","100","37"
"CF14 0RU","51.543243","-3.179823","Cardiff","Lisvane and Thornhill","Heol St Denys","112","38"
"CF14 0RW","51.541961","-3.179473","Cardiff","Lisvane and Thornhill","Millfield","21","7"
"CF14 0RX","51.541406","-3.179199","Cardiff","Lisvane and Thornhill","Holmeside","12","4"
"CF14 0RY","51.534747","-3.177916","Cardiff","Llanishen","Woodside Court","62","41"
"CF14 0RZ","51.532859","-3.177867","Cardiff","Llanishen","Marion Court","33","24"
"CF14 0SA","51.532911","-3.180810","Cardiff","Llanishen","Lisvane Road,South Rise,Station Road","20","4"
"CF14 0SB","51.532527","-3.180468","Cardiff","Llanishen","Lisvane Road,Mill Road","10","3"
"CF14 0SD","51.532927","-3.178287","Cardiff","Llanishen","Lisvane Road,Marion Court","20","8"
"CF14 0SE","51.533759","-3.177833","Cardiff","Llanishen","Lisvane Road,Mill Road,South Rise,Woodside Court","35","13"
"CF14 0SF","51.535567","-3.174102","Cardiff","Lisvane and Thornhill","Lisvane Road,St Mellons Road","38","19"
"CF14 0SG","51.538525","-3.168771","Cardiff","Lisvane and Thornhill","Church Road,Lisvane Road,St Mellons Road","68","25"
"CF14 0SH","51.539670","-3.160265","Cardiff","Lisvane and Thornhill","Lisvane Road,Maerdy Lane,St Mellons Road","79","27"
"CF14 0SJ","51.540584","-3.167829","Cardiff","Lisvane and Thornhill","Cefn Mably Road,Church Road","27","14"
"CF14 0SL","51.539819","-3.167983","Cardiff","Lisvane and Thornhill","Church Close","25","12"
"CF14 0SN","51.550259","-3.161500","Cardiff","Lisvane and Thornhill","Cefn-Porth Road,Graig-Llwyn Road,M4,Rudry Road","87","34"
"CF14 0SP","51.542173","-3.166269","Cardiff","Lisvane and Thornhill","Cefn Mably Road,Dderwen Deg","40","14"
"CF14 0SQ","51.541041","-3.170696","Cardiff","Lisvane and Thornhill","Heol-Y-Delyn,Plas Y Delyn,Rudry Road","52","19"
"CF14 0SR","51.539348","-3.174647","Cardiff","Lisvane and Thornhill","Heol-Y-Delyn,Plas Y Delyn,The Woodlands","64","27"
"CF14 0SS","51.540137","-3.169375","Cardiff","Lisvane and Thornhill","Plas Y Delyn","81","33"
"CF14 0ST","51.540366","-3.169871","Cardiff","Lisvane and Thornhill","Heol-Y-Delyn,Plas Y Delyn","44","16"
"CF14 0SU","51.540279","-3.174123","Cardiff","Lisvane and Thornhill","The Spinney","17","8"
"CF14 0SW","51.538461","-3.175143","Cardiff","Lisvane and Thornhill","The Woodlands","12","5"
"CF14 0SX","51.543390","-3.168680","Cardiff","Lisvane and Thornhill","Cefn Mably Road,Llwyn Y Pia Road,Rudry Road","41","15"
"CF14 0SY","51.542631","-3.172713","Cardiff","Lisvane and Thornhill","Llwyn Y Pia Road","58","22"
"CF14 0SZ","51.543682","-3.169192","Cardiff","Lisvane and Thornhill","Llwyn Y Pia Road,Rowan Way","24","9"
"CF14 0TA","51.541454","-3.171658","Cardiff","Lisvane and Thornhill","Cotswold Avenue","50","23"
"CF14 0TB","51.542262","-3.175385","Cardiff","Lisvane and Thornhill","Rowan Way","36","17"
"CF14 0TD","51.540803","-3.173877","Cardiff","Lisvane and Thornhill","Rowan Way","59","23"
"CF14 0TE","51.543001","-3.176212","Cardiff","Lisvane and Thornhill","Cherry Tree Close","23","9"
"CF14 0TF","51.541786","-3.176238","Cardiff","Lisvane and Thornhill","Mill Place","19","7"
"CF14 0TG","51.542573","-3.176677","Cardiff","Lisvane and Thornhill","Graig View","9","4"
"CF14 0TH","51.541324","-3.175722","Cardiff","Lisvane and Thornhill","Larch Grove,The Coppins","28","10"
"CF14 0TJ","51.540416","-3.175741","Cardiff","Lisvane and Thornhill","The Coppins","21","8"
"CF14 0TL","51.539581","-3.179166","Cardiff","Lisvane and Thornhill","Millwood","102","41"
"CF14 0TN","51.538930","-3.177751","Cardiff","Lisvane and Thornhill","Hillcot Close","13","4"
"CF14 0TP","51.543104","-3.181117","Cardiff","Lisvane and Thornhill","Heol Cefn On","79","29"
"CF14 0TQ","51.541549","-3.180154","Cardiff","Lisvane and Thornhill","Heol Cefn On,Heol St Denys,Millfield","44","16"
"CF14 0TR","51.542119","-3.171748","Cardiff","Lisvane and Thornhill","Llwyn Y Pia Road","",""
"CF14 0TS","51.543163","-3.167145","Cardiff","Lisvane and Thornhill","Tyn Y Berllan","",""
"CF14 0TT","51.534504","-3.174334","Cardiff","Lisvane and Thornhill","Wood Close","11","6"
"CF14 0TU","51.542568","-3.166352","Cardiff","Lisvane and Thornhill","Dderwen Deg","",""
"CF14 0TW","51.540994","-3.168258","Cardiff","Lisvane and Thornhill","Church Road,Rudry Road","",""
"CF14 0TX","51.543686","-3.172422","Cardiff","Lisvane and Thornhill","Llwyn Y Pia Road","",""
"CF14 0TY","51.534140","-3.178362","Cardiff","Llanishen","Millgate","13","6"
"CF14 0UD","51.544826","-3.181624","Cardiff","Lisvane and Thornhill","Blossom Drive,Cherry Orchard Road,Holly Grove,M4","96","38"
"CF14 0UE","51.545138","-3.186318","Cardiff","Lisvane and Thornhill","Cherry Orchard Road","14","9"
"CF14 0UF","51.551322","-3.179369","Cardiff","Lisvane and Thornhill","Cherry Orchard Road,Graig Road,M4,Mount St Denys","50","22"
"CF14 0UG","51.542702","-3.177329","Cardiff","Lisvane and Thornhill","Cherry Orchard Road,Heol St Denys,Larch Grove,Llwyn Y Pia Road,Mill Place,Mill Road,Millbrook Park","91","36"
"CF14 0UH","51.543897","-3.178326","Cardiff","Lisvane and Thornhill","Millbrook Park","46","15"
"CF14 0UJ","51.545091","-3.179395","Cardiff","Lisvane and Thornhill","Holly Grove,Lodge Close,The Paddock","77","29"
"CF14 0UL","51.545882","-3.180238","Cardiff","Lisvane and Thornhill","Lodge Close","16","7"
"CF14 0UN","51.542312","-3.178545","Cardiff","Lisvane and Thornhill","","8","2"
"CF14 0UP","51.542132","-3.184827","Cardiff","Lisvane and Thornhill","Clos Llysfaen","151","50"
"CF14 0UQ","51.537940","-3.182310","Cardiff","Lisvane and Thornhill","Millheath Drive,Millrace Close","98","43"
"CF14 0UR","51.537726","-3.183054","Cardiff","Lisvane and Thornhill","Millrace Close","92","34"
"CF14 0US","51.537170","-3.175744","Cardiff","Lisvane and Thornhill","Cwrt Cefn","40","20"
"CF14 0XA","51.533913","-3.181254","Cardiff","Llanishen","Mill Road","51","14"
"CF14 0XB","51.534559","-3.180492","Cardiff","Llanishen","Mill Road,Old Mill Road","51","19"
"CF14 0XD","51.537043","-3.178495","Cardiff","Lisvane and Thornhill","","7","6"
"CF14 0XE","51.537408","-3.178850","Cardiff","Lisvane and Thornhill","","7","6"
"CF14 0XF","51.537304","-3.178444","Cardiff","Lisvane and Thornhill","","10","7"
"CF14 0XG","51.537431","-3.177423","Cardiff","Lisvane and Thornhill","","27","16"
"CF14 0XH","51.536512","-3.178568","Cardiff","Lisvane and Thornhill","Cwrt Cefn,Mill Road","22","9"
"CF14 0XJ","51.539375","-3.177315","Cardiff","Lisvane and Thornhill","Heol-Y-Delyn,Long House Close,Mill Road,The Oaks","45","16"
"CF14 0XL","51.536086","-3.177994","Cardiff","Lisvane and Thornhill","Mill Road,Tanglewood Close","16","6"
"CF14 0XN","51.539518","-3.176439","Cardiff","Lisvane and Thornhill","Mill Road","10","6"
"CF14 0XP","51.537078","-3.179519","Cardiff","Lisvane and Thornhill","Old Mill Road","32","12"
"CF14 0XQ","51.534695","-3.179544","Cardiff","Llanishen","Mill Close","57","28"
"CF14 0XR","51.539929","-3.177690","Cardiff","Lisvane and Thornhill","Long House Close","22","7"
"CF14 0XS","51.537753","-3.177648","Cardiff","Lisvane and Thornhill","Mill Road","45","15"
"CF14 0YW","51.527407","-3.180855","Cardiff","Llanishen","Fidlas Road","",""
"CF14 1AA","51.513947","-3.219446","Cardiff","Whitchurch and Tongwynlais","Church Road,Old Church Road,Penlline Road","40","19"
"CF14 1AB","51.514798","-3.218864","Cardiff","Whitchurch and Tongwynlais","Davis's Terrace,Old Church Road","26","13"
"CF14 1AD","51.515556","-3.218682","Cardiff","Whitchurch and Tongwynlais","Old Church Road","35","11"
"CF14 1AE","51.513798","-3.219082","Cardiff","Whitchurch and Tongwynlais","Old Church Road","53","19"
"CF14 1AF","51.515853","-3.219483","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Forlan","12","9"
"CF14 1AG","51.515567","-3.219273","Cardiff","Whitchurch and Tongwynlais","Ty'n-Y-Pwll Road","21","16"
"CF14 1AH","51.514697","-3.219942","Cardiff","Whitchurch and Tongwynlais","Victoria Road","33","15"
"CF14 1AJ","51.513730","-3.218691","Cardiff","Whitchurch and Tongwynlais","Rialto Court","14","10"
"CF14 1AL","51.516472","-3.218779","Cardiff","Whitchurch and Tongwynlais","Old Church Road","4","3"
"CF14 1AN","51.515229","-3.218068","Cardiff","Whitchurch and Tongwynlais","Glan-Y-Nant Terrace","39","17"
"CF14 1AP","51.514082","-3.217720","Cardiff","Whitchurch and Tongwynlais","Glan-Y-Nant Road,Glan-Y-Nant Terrace","54","25"
"CF14 1AQ","51.514838","-3.217640","Cardiff","Whitchurch and Tongwynlais","Glan-Y-Nant Road","14","11"
"CF14 1AR","51.514760","-3.218272","Cardiff","Whitchurch and Tongwynlais","Glan-Y-Nant Road","14","8"
"CF14 1AS","51.515730","-3.220949","Cardiff","Whitchurch and Tongwynlais","Ty'n-Y-Pwll Road","83","36"
"CF14 1AT","51.515840","-3.223316","Cardiff","Whitchurch and Tongwynlais","St Francis Road,Ty'n-Y-Pwll Road","49","16"
"CF14 1AU","51.515371","-3.221732","Cardiff","Whitchurch and Tongwynlais","Penlline Court,St Francis Road,Ty'n-Y-Pwll Road","27","14"
"CF14 1AW","51.516528","-3.221187","Cardiff","Whitchurch and Tongwynlais","St Francis Road","104","36"
"CF14 1AX","51.518112","-3.221013","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Forlan,St Margaret's Road","38","14"
"CF14 1AY","51.519329","-3.222415","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Forlan,Pantmawr Road,St Margaret's Road","30","10"
"CF14 1AZ","51.516883","-3.218977","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Forlan,Old Church Road","21","11"
"CF14 1BA","51.517922","-3.220230","Cardiff","Whitchurch and Tongwynlais","Foreland Road,Heol-Y-Forlan","87","31"
"CF14 1BB","51.517274","-3.218569","Cardiff","Whitchurch and Tongwynlais","Brocastle Road","18","7"
"CF14 1BD","51.517799","-3.219102","Cardiff","Whitchurch and Tongwynlais","Ash Grove,Brocastle Road","43","17"
"CF14 1BE","51.518039","-3.218532","Cardiff","Rhiwbina","Ash Grove,Caedelyn Road","38","17"
"CF14 1BG","51.519168","-3.220681","Cardiff","Rhiwbina","Ash Grove,Heol-Y-Forlan","46","19"
"CF14 1BH","51.520297","-3.221000","Cardiff","Rhiwbina","Ash Grove,Caedelyn Road","93","37"
"CF14 1BJ","51.520302","-3.222268","Cardiff","Rhiwbina","Ash Grove","16","11"
"CF14 1BL","51.520502","-3.222951","Cardiff","Rhiwbina","Curlew Close","13","12"
"CF14 1BN","51.520699","-3.220405","Cardiff","Rhiwbina","Curlew Close","15","12"
"CF14 1BP","51.520599","-3.222291","Cardiff","Rhiwbina","Curlew Close","31","30"
"CF14 1BQ","51.520603","-3.220979","Cardiff","Rhiwbina","Curlew Close","15","11"
"CF14 1BR","51.520580","-3.221512","Cardiff","Rhiwbina","Curlew Close","13","11"
"CF14 1BS","51.514200","-3.218502","Cardiff","Whitchurch and Tongwynlais","","19","16"
"CF14 1BT","51.515467","-3.222830","Cardiff","Whitchurch and Tongwynlais","Ty'n-Y-Pwll Road","9","7"
"CF14 1BU","51.515050","-3.219735","Cardiff","Whitchurch and Tongwynlais","Ty'n-Y-Pwll Road","38","30"
"CF14 1BW","51.516507","-3.219716","Cardiff","Whitchurch and Tongwynlais","Ashchurch Close","20","14"
"CF14 1BX","51.516763","-3.219291","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Forlan","15","9"
"CF14 1BY","51.515390","-3.222497","Cardiff","Whitchurch and Tongwynlais","Ty'n-Y-Pwll Road","",""
"CF14 1BZ","51.509645","-3.205036","Cardiff","Whitchurch and Tongwynlais","The Philog","8","7"
"CF14 1DA","51.512957","-3.219549","Cardiff","Whitchurch and Tongwynlais","Merthyr Road,Penlline Road","4","2"
"CF14 1DB","51.512478","-3.218917","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","1","1"
"CF14 1DD","51.511780","-3.217716","Cardiff","Whitchurch and Tongwynlais","Blandon Way,Merthyr Road","15","7"
"CF14 1DE","51.510828","-3.215904","Cardiff","Whitchurch and Tongwynlais","Merthyr Road,Plas Treoda","52","21"
"CF14 1DF","51.508794","-3.202031","Cardiff","Heath","Merthyr Road","8","2"
"CF14 1DG","51.512727","-3.220047","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","5","3"
"CF14 1DH","51.512354","-3.219548","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","1","1"
"CF14 1DJ","51.511641","-3.218102","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","22","10"
"CF14 1DL","51.508169","-3.201639","Cardiff","Whitchurch and Tongwynlais","Llwynderw Road,Merthyr Road,North Road","32","14"
"CF14 1DN","51.511868","-3.217070","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","12","9"
"CF14 1DP","51.512381","-3.216983","Cardiff","Whitchurch and Tongwynlais","Glandwr Place","42","20"
"CF14 1DQ","51.512776","-3.217051","Cardiff","Whitchurch and Tongwynlais","Glandwr Place,Heol Gwrgan","36","30"
"CF14 1DR","51.512248","-3.217700","Cardiff","Whitchurch and Tongwynlais","Glandwr Place","37","28"
"CF14 1DS","51.510546","-3.218793","Cardiff","Whitchurch and Tongwynlais","St David's Road","56","19"
"CF14 1DT","51.510052","-3.217886","Cardiff","Whitchurch and Tongwynlais","Beatrice Road,Tynant","119","46"
"CF14 1DU","51.510533","-3.216530","Cardiff","Whitchurch and Tongwynlais","Beatrice Road,Brook Road","32","15"
"CF14 1DW","51.509958","-3.210405","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","10","5"
"CF14 1DX","51.509733","-3.209563","Cardiff","Whitchurch and Tongwynlais","Lon Madoc,Merthyr Road,The Philog","23","9"
"CF14 1DY","51.509690","-3.207660","Cardiff","Whitchurch and Tongwynlais","Cradoc Road,Maelog Road,The Philog","32","13"
"CF14 1DZ","51.509628","-3.205842","Cardiff","Whitchurch and Tongwynlais","Birchgrove Road,Franklen Road,The Philog,Violet Place,Wauntreoda Road","40","19"
"CF14 1EA","51.509379","-3.208113","Cardiff","Whitchurch and Tongwynlais","The Philog","39","14"
"CF14 1EB","51.509266","-3.206049","Cardiff","Whitchurch and Tongwynlais","The Philog","67","26"
"CF14 1ED","51.509071","-3.204026","Cardiff","Whitchurch and Tongwynlais","The Philog,Wauntreoda Road","78","32"
"CF14 1EE","51.509889","-3.209293","Cardiff","Whitchurch and Tongwynlais","Heol Madoc,Merthyr Road,The Philog","32","21"
"CF14 1EF","51.509724","-3.206911","Cardiff","Whitchurch and Tongwynlais","The Philog","18","14"
"CF14 1EG","51.506547","-3.201986","Cardiff","Whitchurch and Tongwynlais","Birchwood Gardens,Celtic Road,Llwynderw Road,Silver Birch Close,Sunnybank Close","99","36"
"CF14 1EH","51.511073","-3.219153","Cardiff","Whitchurch and Tongwynlais","Blandon Way","101","68"
"CF14 1EJ","51.509555","-3.204198","Cardiff","Whitchurch and Tongwynlais","","5","4"
"CF14 1EL","51.505294","-3.204878","Cardiff","Whitchurch and Tongwynlais","Silver Birch Close","166","72"
"CF14 1EN","51.511000","-3.217523","Cardiff","Whitchurch and Tongwynlais","St David's Road","",""
"CF14 1EP","51.505308","-3.210527","Cardiff","Whitchurch and Tongwynlais","Silver Birch Close","166","66"
"CF14 1EQ","51.506164","-3.203359","Cardiff","Whitchurch and Tongwynlais","Sunnybank Close","132","45"
"CF14 1ER","51.511929","-3.216322","Cardiff","Whitchurch and Tongwynlais","Norman Road","",""
"CF14 1EZ","51.509023","-3.213939","Cardiff","Whitchurch and Tongwynlais","College Road","7","2"
"CF14 1HA","51.509304","-3.210186","Cardiff","Whitchurch and Tongwynlais","Lon Madoc","32","12"
"CF14 1HB","51.508767","-3.209105","Cardiff","Whitchurch and Tongwynlais","Court Road,Heol Madoc","50","16"
"CF14 1HD","51.508940","-3.210637","Cardiff","Whitchurch and Tongwynlais","Heol Carne","33","17"
"CF14 1HE","51.508030","-3.204633","Cardiff","Whitchurch and Tongwynlais","Heol Y Gors,Wauntreoda Road","26","12"
"CF14 1HF","51.507797","-3.206327","Cardiff","Whitchurch and Tongwynlais","Heol Y Gors","58","25"
"CF14 1HG","51.507872","-3.208678","Cardiff","Whitchurch and Tongwynlais","Heol Y Gors","63","25"
"CF14 1HH","51.508214","-3.210387","Cardiff","Whitchurch and Tongwynlais","Heol Y Gors","40","20"
"CF14 1HJ","51.507292","-3.210839","Cardiff","Whitchurch and Tongwynlais","Heol Coed Cae","75","31"
"CF14 1HL","51.507171","-3.211253","Cardiff","Whitchurch and Tongwynlais","Heol Coed Cae,Heol Waun Y Nant,Heol Y Gors","76","31"
"CF14 1HN","51.506773","-3.209686","Cardiff","Whitchurch and Tongwynlais","Court Road","104","45"
"CF14 1HP","51.508714","-3.208066","Cardiff","Whitchurch and Tongwynlais","Maelog Road","48","19"
"CF14 1HQ","51.508675","-3.207546","Cardiff","Whitchurch and Tongwynlais","Cradoc Road","60","21"
"CF14 1HR","51.508705","-3.206394","Cardiff","Whitchurch and Tongwynlais","Franklen Road","50","18"
"CF14 1HS","51.508670","-3.205356","Cardiff","Whitchurch and Tongwynlais","Wauntreoda Road","65","33"
"CF14 1HT","51.508553","-3.204488","Cardiff","Whitchurch and Tongwynlais","Violet Place","70","26"
"CF14 1HU","51.507762","-3.202767","Cardiff","Whitchurch and Tongwynlais","Twyn-Y-Fedwen","69","30"
"CF14 1HW","51.507330","-3.201862","Cardiff","Whitchurch and Tongwynlais","Kenfig Road,Llwynderw Road,Twyn-Y-Fedwen","22","12"
"CF14 1HX","51.506792","-3.200840","Cardiff","Whitchurch and Tongwynlais","Kenfig Road,Twyn-Y-Fedwen","70","28"
"CF14 1HY","51.506386","-3.205397","Cardiff","Whitchurch and Tongwynlais","Birchwood Gardens","75","36"
"CF14 1HZ","51.506150","-3.204742","Cardiff","Whitchurch and Tongwynlais","Birchwood Gardens","122","56"
"CF14 1JE","51.510000","-3.214182","Cardiff","Whitchurch and Tongwynlais","Merthyr Road","",""
"CF14 1JL","51.505912","-3.214721","Cardiff","Whitchurch and Tongwynlais","Clas Gabriel,Heol Cattwg","10","6"
"CF14 1JN","51.506786","-3.214528","Cardiff","Whitchurch and Tongwynlais","Clas Dyfrig,Clas Teilo","17","9"
"CF14 1JP","51.506505","-3.215674","Cardiff","Whitchurch and Tongwynlais","Clas Teilo,Merthyr Road","40","14"
"CF14 1JQ","51.506874","-3.213897","Cardiff","Whitchurch and Tongwynlais","Heol Cattwg","54","25"
"CF14 1JR","51.505678","-3.206934","Cardiff","Whitchurch and Tongwynlais","Court Close","35","18"
"CF14 1JS","51.506879","-3.215093","Cardiff","Whitchurch and Tongwynlais","Heol Gabriel","5","4"
"CF14 1JT","51.505864","-3.213322","Cardiff","Whitchurch and Tongwynlais","Heol Gabriel","53","20"
"CF14 1JU","51.505724","-3.211200","Cardiff","Whitchurch and Tongwynlais","Heol Coed Cae,Heol Gabriel","98","35"
"CF14 1JW","51.505935","-3.209001","Cardiff","Whitchurch and Tongwynlais","Heol Gabriel","50","19"
"CF14 1JX","51.506620","-3.207103","Cardiff","Whitchurch and Tongwynlais","Court Close,Heol Gabriel","56","29"
"CF14 1JY","51.507060","-3.205458","Cardiff","Whitchurch and Tongwynlais","Heol Gabriel","45","24"
"CF14 1JZ","51.507317","-3.212770","Cardiff","Whitchurch and Tongwynlais","Heol Waun Y Nant","104","39"
"CF14 1LA","51.506472","-3.211897","Cardiff","Whitchurch and Tongwynlais","Glas Canol","33","17"
"CF14 1LB","51.507892","-3.213679","Cardiff","Whitchurch and Tongwynlais","Heol-Y-Waun","101","40"
"CF14 1LD","51.508765","-3.213659","Cardiff","Whitchurch and Tongwynlais","Glas Heulog,Heol Waun Y Nant","28","12"
"CF14 1LE","51.509175","-3.213122","Cardiff","Whitchurch and Tongwynlais","Clos Cornel","17","7"
"CF14 1LF","51.509620","-3.215295","Cardiff","Whitchurch and Tongwynlais","Ffordd Celyn","10","5"
"CF14 1LG","51.514645","-3.218946","Cardiff","Whitchurch and Tongwynlais","Davis's Terrace","2","2"
"CF14 1LP","51.512036","-3.219943","Cardiff","Whitchurch and Tongwynlais","Bishop's Road","20","17"
"CF14 1LQ","51.510816","-3.223959","Cardiff","Whitchurch and Tongwynlais","Bishops Place","4","2"
"CF14 1LR","51.506640","-3.218228","Cardiff","Whitchurch and Tongwynlais","Limebourne Court","49","36"
"CF14 1LS","51.507395","-3.219991","Cardiff","Whitchurch and Tongwynlais","College Road,Little Mill","49","18"
"CF14 1LT","51.511458","-3.220186","Cardiff","Whitchurch and Tongwynlais","Bishop's Road","29","13"
"CF14 1LU","51.510779","-3.222287","Cardiff","Whitchurch and Tongwynlais","Bishop's Road","62","24"
"CF14 1LW","51.509962","-3.223908","Cardiff","Whitchurch and Tongwynlais","Bishop's Road","77","30"
"CF14 1LX","51.509245","-3.225387","Cardiff","Whitchurch and Tongwynlais","Bishop's Road,Bishops Close","35","11"
"CF14 1LY","51.509301","-3.226080","Cardiff","Whitchurch and Tongwynlais","Bishop's Road,Bishops Court","49","18"
"CF14 1LZ","51.511648","-3.220941","Cardiff","Whitchurch and Tongwynlais","Bishop's Road,Tynewydd","29","12"
"CF14 1NA","51.508867","-3.224541","Cardiff","Whitchurch and Tongwynlais","Bishops Close","5","3"
"CF14 1NB","51.509033","-3.223321","Cardiff","Whitchurch and Tongwynlais","Bishops Close","8","4"
"CF14 1ND","51.508794","-3.223833","Cardiff","Whitchurch and Tongwynlais","Bishops Close","6","4"
"CF14 1NE","51.508835","-3.224166","Cardiff","Whitchurch and Tongwynlais","Bishops Close","6","4"
"CF14 1NF","51.509423","-3.223879","Cardiff","Whitchurch and Tongwynlais","Bishops Close","2","2"
"CF14 1NG","51.509129","-3.224490","Cardiff","Whitchurch and Tongwynlais","Bishops Close","6","4"
"CF14 1NH","51.509339","-3.222407","Cardiff","Whitchurch and Tongwynlais","Bishops Close","50","18"
"CF14 1NJ","51.508504","-3.224877","Cardiff","Whitchurch and Tongwynlais","Station Road,The Parade,Wingfield Road","102","32"
"CF14 1NL","51.508713","-3.221223","Cardiff","Whitchurch and Tongwynlais","Erw Las","94","37"
"CF14 1NN","51.510399","-3.220850","Cardiff","Whitchurch and Tongwynlais","St David's Road,Tynewydd","58","23"
"CF14 1NP","51.508599","-3.215758","Cardiff","Whitchurch and Tongwynlais","Maes Glas,Tynant,Tynewydd","24","8"
"CF14 1NQ","51.508939","-3.217698","Cardiff","Whitchurch and Tongwynlais","Tynant,Tynewydd","55","24"
"CF14 1NR","51.509695","-3.219347","Cardiff","Whitchurch and Tongwynlais","Erw Las","39","25"
"CF14 1NS","51.508696","-3.218571","Cardiff","Whitchurch and Tongwynlais","","28","17"
"CF14 1NT","51.509772","-3.217101","Cardiff","Whitchurch and Tongwynlais","Tynant","55","31"
"CF14 1NU","51.509479","-3.215883","Cardiff","Whitchurch and Tongwynlais","Tynant","46","26"
"CF14 1NW","51.507981","-3.220742","Cardiff","Whitchurch and Tongwynlais","Felin Fach,Maes Glas","87","34"
"CF14 1NX","51.508305","-3.217249","Cardiff","Whitchurch and Tongwynlais","Maes Glas","76","26"
"CF14 1NY","51.507611","-3.218239","Cardiff","Whitchurch and Tongwynlais","Felin Fach","40","15"
"CF14 1NZ","51.507108","-3.218240","Cardiff","Whitchurch and Tongwynlais","Felin Fach,Limebourne Court","82","33"
"CF14 1PA","51.509163","-3.222892","Cardiff","Whitchurch and Tongwynlais","Bishops Close","6","4"
"CF14 1PB","51.509432","-3.222986","Cardiff","Whitchurch and Tongwynlais","Bishops Close","2","2"
"CF14 1PD","51.509634","-3.223495","Cardiff","Whitchurch and Tongwynlais","Bishops Close","4","3"
"CF14 1PE","51.509392","-3.223345","Cardiff","Whitchurch and Tongwynlais","Bishops Close","8","4"
"CF14 1PF","51.508690","-3.223398","Cardiff","Whitchurch and Tongwynlais","Bishops Close","7","5"
"CF14 1PG","51.508867","-3.222812","Cardiff","Whitchurch and Tongwynlais","Bishops Close","9","4"
"CF14 1PH","51.508711","-3.222289","Cardiff","Whitchurch and Tongwynlais","Bishops Close","6","4"
"CF14 1PJ","51.508493","-3.222528","Cardiff","Whitchurch and Tongwynlais","Bishops Close","10","6"
"CF14 1PL","51.508670","-3.222792","Cardiff","Whitchurch and Tongwynlais","Bishops Close","11","5"
